,node_area,min_traveltime
0,0,34.17840411065721
1,1,46.07717548973034
2,2,32.059414295828105
3,3,45.483402160362104
4,4,35.271717833520924
5,6,33.3904893023434
6,7,37.09288696795142
7,8,36.192418080932406
8,10,19.573509837326178
9,12,32.215933660066554
10,16,45.19332053387764
11,17,36.16196169640017
12,18,55.42303497916748
13,20,38.82016896543089
14,21,27.58880454135115
15,23,16.58876058382534
16,24,37.46885907571152
17,25,47.39109415517046
18,26,23.284164230237234
19,27,37.42505647776349
20,28,59.9565733726828
21,30,31.925211500837463
22,31,29.450020517225514
23,33,49.80329068173973
24,34,40.301861994669146
25,35,31.264515779423355
26,36,35.00411974633993
27,37,39.53103693527334
28,38,22.970375874289108
29,41,7.989230683991242
30,42,7.990883019128081
31,43,59.58086592624592
32,44,27.66572811769278
33,45,58.78092229441509
34,46,17.580961298208834
35,48,51.278007960846026
36,49,42.657972622163655
37,50,53.67221897095213
38,51,23.281858993034028
39,52,21.560364061391123
40,54,52.21122192999892
41,55,34.660908420131555
42,56,12.499004728956773
43,57,19.686273904449433
44,58,41.150268430553076
45,61,31.089311173464168
46,63,35.07641702294853
47,65,31.18336081112865
48,66,35.79264957868104
49,67,28.695305836579838
50,68,30.011038872376307
51,69,38.10358829542207
52,70,26.844849812425128
53,74,29.994255926223865
54,75,28.195506645900874
55,77,21.721612451758798
56,78,54.8346223178907
57,79,13.820805998437494
58,80,28.83837037189085
59,81,57.54693463531547
60,83,7.200756660981893
61,86,11.884494540063535
62,87,22.387242101422547
63,88,47.99830208108016
64,89,44.614712673954585
65,90,44.44707951740524
66,92,45.70329406559041
67,94,35.010847834683965
68,96,59.91552593866065
69,99,26.142262560287808
70,101,14.003973504725408
71,103,41.114381026166114
72,105,23.316939991756147
73,106,7.455871010445713
74,109,34.932597563893275
75,111,59.095941099581474
76,114,28.07753429466131
77,115,29.37890444018226
78,116,38.19133979664234
79,117,34.16750828238429
80,118,53.43942092007835
81,120,17.501728088654346
82,121,28.98383294579145
83,122,54.36737717277335
84,123,58.908325734445064
85,127,37.44063308307338
86,128,49.01005567470112
87,129,47.65745875088685
88,132,38.65125410592827
89,133,54.60278775014324
90,134,37.03245508270831
91,135,5.065937739650747
92,136,25.124718353630282
93,137,49.350114570341454
94,139,45.67109324561734
95,140,18.136695757403974
96,142,39.93051196509924
97,144,58.891068954528386
98,145,32.492908203766234
99,146,25.182006659261184
100,148,44.826959299947454
101,149,50.491574003157616
102,150,12.984735584946066
103,153,35.02393330795516
104,154,54.43972236690052
105,156,25.808369730364102
106,157,26.813502156151277
107,158,24.23554146919281
108,159,19.549619232434456
109,162,17.305553719691893
110,163,52.185897571518794
111,164,55.78553841287114
112,165,20.728872043870307
113,166,24.307979181303484
114,168,32.472365735941985
115,170,5.276789576484708
116,174,37.36434067981932
117,175,12.097693793725984
118,177,42.27183159760167
119,178,11.015422988747952
120,179,19.707533788035104
121,181,7.010090465032897
122,182,15.301368931726305
123,183,29.968164014622673
124,184,21.784042641042944
125,185,34.046628246479614
126,186,35.67947265550512
127,187,53.23408920180143
128,188,11.070715779949827
129,191,42.16204388841664
130,192,6.325756400672944
131,194,32.24673285902294
132,197,32.97731507458218
133,198,25.57380557929668
134,199,37.253365315833186
135,200,41.647225802734255
136,201,16.619753524074124
137,202,18.97099560719871
138,203,40.923223776001244
139,205,4.101173151062612
140,206,16.155848001257652
141,207,46.1299805172601
142,208,38.49786665214396
143,209,31.18359502523053
144,210,32.63932559954874
145,213,32.52797257676205
146,215,23.165599582919704
147,216,28.050884715467586
148,217,33.48809383450717
149,218,38.56077226044616
150,221,29.000127812043136
151,223,31.58506821411137
152,224,41.04735460176995
153,225,26.599823098982764
154,228,49.53898990569075
155,230,35.280356783428395
156,235,8.672279479261876
157,239,37.327456556916815
